puzzle_idx,puzzle,method,mean_F1
16,Q17,Ours (top-20 of K=1000),1.0
17,Q18,Struct2SeQ,0.9415492110906742
17,Q18,Struct2SeQ-SHAPE,0.9466508082982825
17,Q18,gRNAde,0.8535536604013029
17,Q18,MPNN-RFdiff,0.9440935990076417
17,Q18,MPNN-fixbb,0.9114872295576479
17,Q18,Rosetta,
17,Q18,Ours (top-20 of K=1000),0.9826086
18,Q19,Struct2SeQ,0.9847400584630879
18,Q19,Struct2SeQ-SHAPE,0.98341440349115
18,Q19,gRNAde,0.9411072936119907
18,Q19,MPNN-RFdiff,0.9860082313873797
18,Q19,MPNN-fixbb,0.846690873619642
18,Q19,Rosetta,
18,Q19,Ours (top-20 of K=1000),1.0
19,Q20,Struct2SeQ,0.8587944266345293
19,Q20,Struct2SeQ-SHAPE,0.7544562993679811
19,Q20,gRNAde,0.7229784213745895
19,Q20,MPNN-RFdiff,0.8738384349564605
19,Q20,MPNN-fixbb,0.8271633932584301
19,Q20,Rosetta,
19,Q20,Ours (top-20 of K=1000),0.8769499
