config,mean_dist,median_dist,std
bidir_random_240mer,134.83102036741215,141.0,32.90515235817092
orig_struct2seq_l2r_240mer,137.19383985623003,147.0,33.3735366312333
orig_struct2seq_3strategies_rescue_240mer,140.21949415766898,149.0,33.613428641280194
