puzzle_idx,puzzle,method,mean_F1
16,P17,Ours (top-20 of K=1000),1.0
17,P18,Struct2SeQ,0.9815157303535582
17,P18,Struct2SeQ-SHAPE,0.9757629273834123
17,P18,gRNAde,0.9498626763408577
17,P18,MPNN-RFdiff,0.9922077922077921
17,P18,MPNN-fixbb,0.79778854238712
17,P18,Rosetta,0.2341194924700069
17,P18,Ours (top-20 of K=1000),1.0
18,P19,Struct2SeQ,0.9792325578998675
18,P19,Struct2SeQ-SHAPE,0.9612923883555421
18,P19,gRNAde,0.5553298843473515
18,P19,MPNN-RFdiff,0.991060615414548
18,P19,MPNN-fixbb,0.9882127447867471
18,P19,Rosetta,0.9208605754614052
18,P19,Ours (top-20 of K=1000),1.0
19,P20,Struct2SeQ,0.9696617067143384
19,P20,Struct2SeQ-SHAPE,0.9431667642520034
19,P20,gRNAde,0.9621469093238991
19,P20,MPNN-RFdiff,0.9934894053315105
19,P20,MPNN-fixbb,0.9942057942057942
19,P20,Rosetta,0.7647705818793694
19,P20,Ours (top-20 of K=1000),1.0
